,0,1,2,3,4,5,6,7,8,9
PROJECT_ID_0000,-0.18494444,0.15187801,0.2153382,-0.08761214,-0.27922055,0.4336948,1.450077,0.424795,0.27298674,-0.23636228
PROJECT_ID_0001,-0.47984844,-0.03381709,1.231965,-0.24168874,-0.38123366,0.1701674,1.0910101,0.5798732,0.9276237,0.074273035
PROJECT_ID_0002,-1.5249616,0.49856937,0.3368445,-0.048906952,0.30302408,0.2625037,1.3874373,-0.44447148,0.82714653,-0.1834641
PROJECT_ID_0003,0.3101968,0.38918677,0.1965352,-0.010867917,0.53002024,-0.16744526,1.0427665,0.37902197,0.24894139,-0.67766565
PROJECT_ID_0004,-0.22919996,0.3324906,0.0505843,0.04946178,-0.2730031,0.13865472,1.5410454,0.3416744,0.55236346,-0.97712207
PROJECT_ID_0005,-0.19798853,-0.09074564,0.21487017,-0.5423494,0.14517508,0.95952743,1.3249773,-0.2709486,0.41735,-0.7522811
PROJECT_ID_0006,-0.20626353,0.22305603,1.068434,-0.37571663,0.72479105,-0.7462023,1.1203207,-0.45061174,-0.10720192,-1.2706668
PROJECT_ID_0007,-0.7650979,0.11042674,0.6804221,-0.88918686,0.5206784,0.1210288,0.71642447,0.26050994,0.41279444,0.31959575
PROJECT_ID_0008,-0.18743119,-0.18180965,-0.28175643,-0.6972748,1.1557678,-0.009947628,0.90194714,-0.391279,-0.28416175,-0.6944253
PROJECT_ID_0009,-0.7325719,0.19538707,0.8342685,-1.3863035,0.2325534,-0.14975677,1.070657,0.3553792,0.03676108,-0.94767076
PROJECT_ID_0010,-0.14215276,-0.06281565,0.14219245,0.11042671,-0.119057536,0.5684035,1.0009669,0.5341576,0.42031354,-0.5951949
PROJECT_ID_0011,-0.32646355,0.11867273,-0.3211462,0.3283113,0.41224688,0.14554368,0.9349488,1.0076766,-0.3720129,-0.24651863
PROJECT_ID_0012,-0.4750736,-0.252953,1.3952793,0.09501568,0.66423565,0.26984838,0.53220254,-0.4942346,1.202781,-0.18721162
PROJECT_ID_0013,-0.87850934,0.1618209,0.96768725,-0.46983543,0.6325519,0.22491713,0.46547157,0.55407786,0.27934292,0.35501033
PROJECT_ID_0014,-0.13492122,0.5118152,0.67909735,-0.1805197,0.48179087,0.05746652,1.3069929,-0.25148922,-0.0123791415,-0.77306235
PROJECT_ID_0015,0.9538005,-0.29874894,0.7990892,-0.6074021,0.45369253,0.63347954,0.9727176,0.36079693,0.29866335,-0.19565354
PROJECT_ID_0016,-0.16696964,0.3424228,1.0215884,0.679809,-0.12660111,-0.50782436,1.5749593,0.09642365,0.42093274,0.010657933
PROJECT_ID_0017,-0.35599104,0.24951622,0.35111943,-0.19530836,0.17043668,0.48532718,1.5188355,-0.45057887,0.07696975,-0.7720091
PROJECT_ID_0018,-0.040155582,-0.054498225,1.0759385,-0.8662381,-0.124150954,0.51373297,1.0066162,0.53253716,0.5939846,-0.6762607
PROJECT_ID_0019,-0.70151603,0.026937326,0.6178038,-0.84392893,-0.050645277,1.0018086,1.431003,-0.18858698,0.7436182,-0.37610638
PROJECT_ID_0020,-0.20039162,-0.3491941,1.0996376,-0.58618563,-0.35327914,0.3198754,0.77387285,0.9625227,0.8414229,-0.24501927
PROJECT_ID_0021,0.52009916,0.089516275,0.124991864,0.7718301,-0.22527727,0.041924473,1.6798123,0.65111244,0.057110824,-0.60995924
PROJECT_ID_0022,0.23090771,0.38899112,-0.26514605,-0.03709244,0.475898,0.12861182,1.6194642,-0.05782956,0.8991228,0.21761109
PROJECT_ID_0023,-0.39586076,0.57372355,0.76961726,-0.92161787,0.09095347,-0.02323399,1.3346281,0.5482072,0.29634565,-0.27562356
PROJECT_ID_0024,-0.49830237,-0.68037885,0.70506436,0.21390665,-0.17390285,0.17574397,0.25017747,0.9354903,0.35216168,-1.250932
PROJECT_ID_0025,0.07689915,-0.24348365,1.4935272,0.6183672,-0.22328949,-1.1736852,1.2766962,0.6841523,0.7119731,0.020040257
PROJECT_ID_0026,-1.4733013,-0.12910055,-0.7939523,-0.2796761,0.05386754,0.4869959,1.1521119,0.33433986,0.2316178,-1.1153399
PROJECT_ID_0027,-0.7418417,-0.1652002,0.014820499,-0.11014342,-0.7785831,0.42821383,1.4926971,0.75684744,0.54556143,-0.77597773
PROJECT_ID_0028,-0.1887487,-0.46409824,0.5479873,0.30051473,0.008508494,-1.0996616,0.69471383,0.4633777,0.29842457,-0.4842251
