,0,1,2,3,4,5,6,7,8,9
PROJECT_ID_0000,-0.70432705,0.47885692,-1.294924,0.31386575,0.7479158,-0.18041466,0.1672368,0.037013013,0.66522723,-0.054781992
PROJECT_ID_0001,-0.7716422,0.278717,-1.2622207,0.30270705,1.0732346,-0.7343129,-0.43303397,0.28485048,0.748858,0.015498484
PROJECT_ID_0002,-1.3215412,-0.17874287,-0.9069889,0.60821456,0.52907515,-0.6950659,0.5592675,0.6222236,1.0175222,-0.57281053
PROJECT_ID_0003,-0.10629965,0.3568446,-1.7655368,0.17445755,0.26100108,-0.5537405,0.16934113,0.43592834,0.17310663,0.1833621
PROJECT_ID_0004,-0.286088,0.37292993,-1.9711312,-0.14931543,0.8219157,-0.49006325,-0.20732822,0.9370061,1.06391,-0.08600453
PROJECT_ID_0005,-0.1889911,0.46134853,-1.2040187,0.85337186,0.40934438,0.20864429,-0.17586789,0.3498145,1.1978644,-0.33574077
PROJECT_ID_0006,-0.1992487,-0.1606721,-1.7302986,0.63367146,-0.404558,-1.1102091,-0.15112111,0.89181364,0.23381615,-0.31082192
PROJECT_ID_0007,-0.5232346,-0.095270604,-1.4354105,0.32982314,0.9670156,-0.51175183,-0.45188034,0.5783268,0.21442719,-0.53346616
PROJECT_ID_0008,0.1630587,-0.23012,-1.7730634,0.6522881,0.20763905,0.48686296,0.020865051,0.9222149,0.20970364,-0.5895903
PROJECT_ID_0009,-0.49072576,0.25664535,-1.3991563,0.83602124,0.57407004,-0.49543688,-0.38814038,1.1249428,0.21934743,-0.0877309
PROJECT_ID_0010,-0.3426326,0.67664623,-1.4942502,0.14952587,0.7773871,0.03842007,0.043504342,0.57292414,0.60298795,0.3340407
PROJECT_ID_0011,-0.65178764,0.4554368,-1.9813861,-0.20284049,0.5582682,0.034817047,0.5794609,0.5122045,-0.28455564,0.22687429
PROJECT_ID_0012,-0.73081607,-0.58427054,-1.480655,0.7055653,0.96216774,-1.074757,-0.23065306,0.13258766,0.8342583,-0.18964404
PROJECT_ID_0013,-0.94036484,-0.2538977,-1.4717734,0.43045485,0.9285498,-0.57900214,-0.31401014,0.18647893,-0.27765498,-0.20342863
PROJECT_ID_0014,-0.52030545,0.17531274,-1.6059369,0.80441093,-0.14862853,-0.57085097,-0.021331526,0.5066796,0.30884776,-0.43890378
PROJECT_ID_0015,-0.2821301,0.48639038,-1.9124585,0.6072121,0.7239009,-0.09081954,-0.7539992,-0.1642601,0.5522648,0.27042276
PROJECT_ID_0016,-1.0772634,0.34435368,-1.7160021,0.028689908,0.024608234,-1.1215822,0.1181654,0.13391529,0.5964523,0.13610674
